nombre,cantidad,anio
Julian,16,1925
Jacinta,15,1925
Ester,15,1925
Marcelo,15,1925
Albina,15,1925
America,15,1925
Petronila,15,1925
Benito,15,1925
Maria Emilia,15,1925
Segundo,15,1925
Barbara,15,1925
Juan De Dios,15,1925
Soledad,15,1925
Luis Angel,15,1925
Mafalda,15,1925
Luciano,15,1925
Maria Francisca,15,1925
Otilia,15,1925
Maria Josefina,15,1925
Federico,15,1925
Rafaela,15,1925
Delia Maria,15,1925
Olga Esther,15,1925
Serafina,15,1925
Florentino,15,1925
Anibal,15,1925
Consuelo,15,1925
Ema,15,1925
Nilda,15,1925
Gerardo,15,1925
Leonardo,15,1925
Nora,14,1925
Juana Esther,14,1925
Maria Amelia,14,1925
Maria Dominga,14,1925
Maria Enriqueta,14,1925
Ruben,14,1925
Lia Esther,14,1925
Clotilde,14,1925
Ernestina,14,1925
Olga Maria,14,1925
Eulalia,14,1925
Pedro Pablo,14,1925
Atilio ,14,1925
Palmira,14,1925
Etelvina,14,1925
Maria Amalia,14,1925
Estrella,14,1925
Leopoldo,14,1925
Florencio,14,1925
German,14,1925
Carmelo,14,1925
Pedro Antonio,13,1925
Ricardo Jose,13,1925
Joaquin,13,1925
Jaime,13,1925
Ramon Antonio,13,1925
Celia Esther,13,1925
Joaquina,13,1925
Israel,13,1925
Marciana,13,1925
Severina,13,1925
Isabel Maria,13,1925
Norma,13,1925
Maria Margarita,13,1925
Elva,13,1925
Jose Carlos,13,1925
Maria Haydee,13,1925
Maria Irma,13,1925
Inocencio,13,1925
Eugenio,13,1925
Evangelista,13,1925
Benjamin,13,1925
Valeria,13,1925
Rosaria,13,1925
Norberto,13,1925
Maria Elsa,13,1925
Sebastiana,13,1925
Rogelia,13,1925
Juana Rosa,13,1925
Marina,13,1925
Jose Alberto,13,1925
Celia Rosa,13,1925
Francisco Jose,12,1925
Jose Angel,12,1925
Jacinto,12,1925
Juana Francisca,12,1925
Dina,12,1925
Benigno,12,1925
Sabina,12,1925
Silvestre,12,1925
Augusto,12,1925
Pabla,12,1925
Clara Rosa,12,1925
Francisco Antonio,12,1925
Natalia,12,1925
Victorina,12,1925
Ilda,12,1925
Maria Natividad,12,1925
Maria Olga,12,1925
Hector Raul,12,1925
Sixto,12,1925
Nicolasa,12,1925
Maria Alicia,12,1925
Jose Ramón,12,1925
Ermelinda,12,1925
Maria Raquel,12,1925
Maria Estela,12,1925
Silvia,12,1925
Eloisa,12,1925
Carlota,12,1925
Ramona Rosa,12,1925
Fanny,12,1925
Amanda,12,1925
Delia Rosa,11,1925
Alejandra,11,1925
Fortunata,11,1925
Avelino,11,1925
Maria Nieves,11,1925
Alicia Esther,11,1925
Maria del Rosario,11,1925
Demetria,11,1925
Blanca Nelida,11,1925
Feliciano,11,1925
Gabriela,11,1925
Victoriano,11,1925
Hugo,11,1925
Hector Jose,11,1925
Elvira Luisa,11,1925
Justo,11,1925
Frida,11,1925
Pedro Alberto,11,1925
Felicia,11,1925
Isidoro,11,1925
Maria Eugenia,11,1925
Pascuala,11,1925
Maria Lidia,11,1925
Blas,11,1925
Sara Rosa,11,1925
Corina,11,1925
Jose Pedro,11,1925
Olinda,11,1925
Arminda,11,1925
Lidia Rosa,11,1925
Lydia,11,1925
Jose Juan,11,1925
Martha,11,1925
Orlando,11,1925
Eulogio,11,1925
Maria Blanca,11,1925
Nélida Beatriz,11,1925
Rebeca,11,1925
Dorotea,11,1925
Mercedes Del Carmen,11,1925
Justa,11,1925
Basilia,11,1925
Sergio,11,1925
Maria Beatriz,11,1925
Nilda Teresa,10,1925
Genaro,10,1925
Rosa Ramona,10,1925
Oscar Alberto,10,1925
Carlos José,10,1925
Liboria,10,1925
Elba Rosa,10,1925
Hilda Esther,10,1925
Elena Maria,10,1925
Modesto,10,1925
Máximo,10,1925
Maria Nelly,10,1925
Ceferino,10,1925
Bruna,10,1925
Domingo Antonio,10,1925
Samuel Alberto,10,1925
Oliva,10,1925
Zoila,10,1925
Maria Luz,10,1925
Manuel Antonio,10,1925
Alicia del Carmen,10,1925
Anastacia,10,1925
Eusebia,10,1925
Basilio,10,1925
Elsa Irma,10,1925
Teresa Maria,10,1925
Lina,10,1925
Ceferina,10,1925
Erminda,10,1925
Graciela,10,1925
Esmeralda,10,1925
Roman,10,1925
Elsa Beatriz,10,1925
Jorge Eduardo,10,1925
Ruperta,10,1925
Geronima,10,1925
Maria Elba,10,1925
Jorgelina,10,1925
Fortunato,10,1925
Victor Manuel,10,1925
Narciso,10,1925
Isaura,10,1925
Fermina,10,1925
Ramiro,10,1925
Angela Esther,10,1925
Pedro Jose,10,1925
Maria del Valle,10,1925
Victorio,10,1925
Rufina,10,1925
Balbina,10,1925
Feliciana,10,1925
Maria Argentina,10,1925
Maria Yolanda,10,1925
Elsa Nelida,10,1925
Irma Rosa,10,1925
Claudio,9,1925
Rosa Francisca,9,1925
Remigio,9,1925
Juana Isabel,9,1925
Rosa Angelica,9,1925
Jose Agustin,9,1925
Dante,9,1925
Antonia Maria,9,1925
Margarita Rosa,9,1925
Saturnino,9,1925
Nestor,9,1925
Maria Ofelia,9,1925
Inocencia,9,1925
Carlos Washington,9,1925
