nombre,cantidad,anio
Maria,314,1922
Rosa,203,1922
Jose,163,1922
Maria Luisa,127,1922
Carmen,117,1922
Ana,113,1922
Maria Elena,112,1922
Juana,111,1922
Maria Esther,109,1922
Antonio,103,1922
Elena,102,1922
Teresa,97,1922
Angela,93,1922
Margarita,88,1922
Catalina,87,1922
Francisco,87,1922
Juan,87,1922
Francisca,84,1922
Elvira,81,1922
Josefa,79,1922
Maria Angelica,78,1922
Nelida,78,1922
Luisa,77,1922
Antonia,75,1922
Maria Teresa,71,1922
Juan Carlos,69,1922
Isabel,66,1922
Pedro,65,1922
Lucia,63,1922
Sara,62,1922
Victoria,59,1922
Amalia,59,1922
Luis,57,1922
Manuel,56,1922
Mercedes,54,1922
Julia,54,1922
Aurora,54,1922
Elsa,54,1922
Carlos,54,1922
Miguel,52,1922
Emilia,51,1922
Ana Maria,47,1922
Concepcion,47,1922
Vicente,45,1922
Alberto,44,1922
Matilde,43,1922
Amelia,43,1922
Josefina,43,1922
Maria Del Carmen,42,1922
Enrique,42,1922
Domingo,41,1922
Dolores,41,1922
Irma,41,1922
Dora,39,1922
Adela,38,1922
Elisa,38,1922
Maria Antonia,37,1922
Dominga,37,1922
Ramona,37,1922
Delia,37,1922
Magdalena,36,1922
Aida,36,1922
Nicolas,36,1922
Haydee,35,1922
Roberto,35,1922
Maria Rosa,35,1922
Angel,34,1922
Alfredo,34,1922
José Maria,33,1922
Manuela,32,1922
Zulema,32,1922
Lidia,31,1922
Clara,30,1922
Maria Isabel,30,1922
Rosario,30,1922
Raquel,29,1922
Ricardo,29,1922
Ernesto,28,1922
Alicia,28,1922
Petrona,28,1922
Emma,27,1922
Gregoria,26,1922
Irene,26,1922
Celia,26,1922
Eduardo,26,1922
Paulina,26,1922
Pilar,26,1922
Carmela,26,1922
Carlos Alberto,26,1922
Felisa,26,1922
Filomena,25,1922
Armando,25,1922
Jose Antonio,25,1922
Maria Magdalena,25,1922
Miguel Angel,25,1922
Leonor,25,1922
Felipe,25,1922
Maria Mercedes,24,1922
Esther,24,1922
Adelina,24,1922
Rosalia,24,1922
Gregorio,24,1922
Juan Antonio,24,1922
Salvador,24,1922
Juan Bautista,23,1922
Maria Josefa,23,1922
Maria Ines,23,1922
Juan José,23,1922
Beatriz,23,1922
Eugenia,23,1922
Guillermo,22,1922
Juliana,22,1922
Emilio,22,1922
Rafael,22,1922
Sofia,22,1922
Herminia,22,1922
Mario,22,1922
Raul,22,1922
Oscar,22,1922
Adolfo,21,1922
Maria Angela,21,1922
Vicenta,21,1922
Carolina,21,1922
Hector,21,1922
Pablo,20,1922
Susana,20,1922
Berta,20,1922
Paula,20,1922
Blanca Rosa,20,1922
Martina,20,1922
Yolanda,20,1922
